Date,Open,High,Low,Close,Volume
2007-11-14,701.2,705.97,698.59,699.73,238789518
2007-11-15,700.48,701.64,686.03,688.74,210288526
2007-11-16,684.62,686.41,679.22,682.49,273689577
2007-11-19,681.57,683.77,668.94,670.01,231993435
2007-11-20,674.29,680.28,668.8,680.06,255923541
2007-11-21,674.27,674.86,664.8,667.48,255569556
2007-11-22,669.1,671.74,664.35,670.63,173212274
2007-11-23,670.38,676.64,669.79,676.13,166259428
2007-11-26,678.82,683.19,673.03,673.61,167607740
2007-11-27,669.85,671.74,662.77,671.19,193886868
2007-11-28,673.47,689.48,671.86,689.31,239601345
2007-11-29,691.88,695.26,689.89,693.37,197152245
2007-11-30,695.1,705.17,694.87,703.13,225773318
2007-12-03,702.42,705.24,698.91,699.82,159883958
2007-12-04,700.2,700.56,693.96,695.99,200169973
2007-12-05,699.32,708.43,699.32,708.27,162178389
2007-12-06,710.03,712.66,704.6,707.63,174387871
2007-12-07,709.19,713.67,709.19,713.05,190956794
2007-12-10,710.51,718.24,710.31,716.56,161049338
2007-12-11,718.39,719.74,712.77,714.73,176187187
2007-12-12,711.65,722.88,707.5,719.57,226575997
2007-12-13,713.53,716.05,705.28,705.62,201710865
2007-12-14,710.05,710.59,701.55,707.5,156259965
2007-12-17,701.13,701.45,694.84,695.4,170573642
2007-12-18,693.53,705.26,693.53,697.91,169220847
2007-12-19,699.13,699.67,692.69,696.28,155331686
2007-12-20,697.45,703.1,696.94,699.16,140746866
2007-12-21,703.64,711,703.17,710.9,356958367
2007-12-27,714.8,716.86,712.57,713.75,108088866
2007-12-28,710.46,716.65,710.36,716.65,57604705
2008-01-02,714.53,719.67,705.39,706.95,133126235
2008-01-03,707.14,708.72,697.88,702.2,172986061
2008-01-04,702.13,703.03,690.34,692.06,243228240
2008-01-07,691.22,694.5,687.55,690.04,243702943
2008-01-08,692.47,699.31,692.13,693.71,233331940
2008-01-09,692.28,692.82,684.24,685.17,270766353
2008-01-10,687.31,689.79,677.11,677.8,242708730
2008-01-11,679.14,680.04,674.44,678.01,223254187
2008-01-14,675.84,682.46,675.84,680.52,181691255
2008-01-15,679.45,680.48,664.83,665.39,266178492
2008-01-16,662.2,662.94,653.43,655.62,343353230
2008-01-17,659.41,662.98,649.9,650.82,250526424
2008-01-18,650.71,658.28,640.48,642.55,351557860
2008-01-21,640.38,640.38,596.62,598.14,476752782
2008-01-22,598.04,607.81,566.41,599.52,533442970
2008-01-23,601.39,609.55,569.2,573.26,401472899
2008-01-24,573.54,608.72,573.54,605.99,381127361
2008-01-25,607.67,622.27,605.11,607.63,278129163
2008-01-28,606.42,606.98,595.46,606.79,210308437
2008-01-29,607.94,617.47,607.56,615.26,215818581
2008-01-30,613.66,616.45,609.21,612.93,182989119
2008-01-31,611.15,613.97,597.16,610.83,238128651
2008-02-01,615.67,627.55,615.26,622.72,230027059
2008-02-04,626.21,631.02,624.65,626.49,168222436
2008-02-05,625.4,625.4,603.26,604.72,243262919
2008-02-06,601.51,612.2,598.32,611.45,223728663
2008-02-07,609.1,609.69,593.84,600.31,224466671
2008-02-08,604.26,610.77,598.52,603.15,150219071
2008-02-11,598.51,606.62,596.81,600.79,153819386
2008-02-12,605.75,622.98,602.15,622.1,232166878
2008-02-13,617.47,625.93,613.77,623.66,174941889
2008-02-14,628.92,631.82,621.1,623.2,197928368
2008-02-15,623.28,626.87,609.51,612.02,216709188
2008-02-18,616.28,626.09,616.13,623.73,135628754
2008-02-19,622,632.49,616.99,626.76,168342403
2008-02-20,620.85,623.51,614.13,618.01,187224974
2008-02-21,622.42,628.4,617.54,619.38,178203329
2008-02-22,617.51,617.72,608.32,611.56,200883018
2008-02-25,615.07,621.5,613.23,618.35,150929431
2008-02-26,620.78,628.76,620.78,627.26,180904073
2008-02-27,628.97,630.03,618.03,627.79,168035100
2008-02-28,625.5,627.36,614.84,615.68,179049472
2008-02-29,613.21,615.98,601.95,605.77,205181588
2008-03-03,602.73,602.84,593.35,600.43,169269123
2008-03-04,600.64,603.95,586.03,588.44,200279108
2008-03-05,592.14,601.95,591.58,600.81,169868993
2008-03-06,600.67,600.67,591.31,593.17,165787045
2008-03-07,589.32,589.81,580.33,585.39,197265567
2008-03-10,582.05,586.32,575.56,578.1,169686232
2008-03-11,580.18,591.4,576.84,585.47,197912462
2008-03-12,588.56,597.86,588.17,592.1,171371793
2008-03-13,589.87,589.87,574.45,583.17,198599543
